City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Shimanovsk,RU,2022-08-07 23:20:24,52.0,127.7,54.36,93,77,8.99
1,Kurilsk,RU,2022-08-07 23:20:24,45.2333,147.8833,59.83,94,87,12.28
2,Ilulissat,GL,2022-08-07 23:16:55,69.2167,-51.1,44.62,87,100,4.61
3,Lorengau,PG,2022-08-07 23:20:25,-2.0226,147.2712,83.28,73,82,8.37
4,Kavaratti,IN,2022-08-07 23:20:25,10.5669,72.642,80.47,84,99,23.17
5,Tuktoyaktuk,CA,2022-08-07 23:19:42,69.4541,-133.0374,50.0,71,75,6.91
6,Hellvik,NO,2022-08-07 23:20:26,59.9156,5.781,56.77,91,99,1.99
7,Inirida,CO,2022-08-07 23:20:26,3.8653,-67.9239,78.53,81,92,2.8
8,Victoria,HK,2022-08-07 23:18:10,22.2855,114.1577,84.38,85,76,8.01
9,General Roca,AR,2022-08-07 23:20:26,-39.0333,-67.5833,38.35,97,100,6.58
